נושאים מתקדמים בתכנות,16/4/2020,Done,Sat Apr 18 20:17:11 IDT 2020,96
נושאים מתקדמים בתכנות,31/5/2020,Done,Sun May 24 17:52:15 IDT 2020,96
נושאים מתקדמים בתכנות,23/6/2020,Not Done,Mon Jun 08 09:58:56 IDT 2020,Not Updated
מבוא לכלכלה לתעשייה וניהול,25/3/2020,Done,Fri Apr 10 10:29:52 IDT 2020,Not Needed
מבוא לכלכלה לתעשייה וניהול,1/4/2020,Done,Fri Apr 10 10:29:54 IDT 2020,Not Needed
מבוא לכלכלה לתעשייה וניהול,22/4/2020,Done,Fri Apr 17 11:49:08 IDT 2020,Not Needed
מבוא לכלכלה לתעשייה וניהול,29/4/2020,Done,Thu Apr 23 17:57:03 IDT 2020,Not Needed
מבוא לכלכלה לתעשייה וניהול,6/5/2020,Done,Wed May 06 14:42:47 IDT 2020,Not Needed
מבוא לכלכלה לתעשייה וניהול,20/4/2020,Done,Tue May 19 10:02:20 IDT 2020,Not Needed
מבוא לכלכלה לתעשייה וניהול,13/6/2020,Done,Tue May 19 10:02:52 IDT 2020,Not Needed
מבוא לכלכלה לתעשייה וניהול,3/6/2020,Done,Thu May 28 09:19:35 IDT 2020,Not Needed
מבוא למערכות הפעלה,17/04/2020,Done,Fri Apr 17 11:49:04 IDT 2020,100
מבוא למערכות הפעלה,14/5/2020,Done,Tue May 05 19:10:46 IDT 2020,100
מבוא למערכות הפעלה,6/6/2020,Done,Wed May 27 12:08:52 IDT 2020,100
מבוא למערכות הפעלה,25/6/2020,Done,Sun Jun 14 10:22:35 IDT 2020,Not Updated
מודלים חישוביים ואלגוריתמים ,20/04/2020,Done,Fri Apr 17 11:49:06 IDT 2020,100
מודלים חישוביים ואלגוריתמים ,13/05/2020,Done,Mon May 11 10:32:38 IDT 2020,100
מודלים חישוביים ואלגוריתמים ,2/6/2020,Done,Wed May 27 16:12:28 IDT 2020,97
מודלים חישוביים ואלגוריתמים ,21/6/2020,Done,Mon Jun 22 16:13:42 IDT 2020,Not Updated
מימוש מערכות בסיסי נתונים,15/4/2020,Done,Fri Apr 17 11:49:01 IDT 2020,100
מימוש מערכות בסיסי נתונים,27/5/2020,Done,Sun May 10 11:51:34 IDT 2020,100
מימוש מערכות בסיסי נתונים,17/6/2020,Done,Sun Jun 07 10:53:21 IDT 2020,Not Updated
שיטות נומריות בתעשייה ,28/4/2020,Done,Sat Apr 18 13:53:26 IDT 2020,Not Updated
שיטות נומריות בתעשייה ,7/6/2020,Done,Sun Jun 07 10:53:19 IDT 2020,Not Updated
שיטות נומריות בתעשייה ,25/6/2020,Not Done,Thu Jun 18 11:56:12 IDT 2020,Not Updated
